x,y,gesture
-2.1674187,0.95270365,test_female.mp4_segment_1_Gesture_0.13_1.23
-1.6974918,1.1701866,test_female.mp4_segment_1_Gesture_0.50_1.07
-0.6189686,0.01585077,test_female.mp4_segment_2_Gesture_2.34_3.24
-1.0324545,0.27099496,test_female.mp4_segment_2_Gesture_2.37_3.24
-1.7117109,0.25666657,test_female.mp4_segment_3_Gesture_3.80_4.14
-3.0956018,-0.702003,test_female.mp4_segment_3_Gesture_4.87_6.54
-3.6933208,0.4375079,test_female.mp4_segment_4_Gesture_4.44_6.54
-2.8311322,-0.16430569,test_female.mp4_segment_4_Gesture_8.01_11.18
-2.505181,0.05766195,test_female.mp4_segment_5_Gesture_7.67_11.18
-3.5040758,-0.22383066,test_male.mp4_segment_1_Gesture_0.17_3.64
-3.0167832,0.61077666,test_male.mp4_segment_1_Gesture_0.23_3.37
-1.153293,-0.76453906,test_male.mp4_segment_2_Gesture_5.00_5.81
-1.5346746,-0.26625866,test_male.mp4_segment_2_Gesture_5.14_5.47
-2.6264467,1.5308006,test_male.mp4_segment_3_Gesture_8.98_9.78
-2.0289462,2.002904,test_male.mp4_segment_3_Gesture_9.21_9.44
-1.0739617,1.2909813,test_male.mp4_segment_4_Gesture_12.01_12.35
-2.7067134,2.2170727,test_male.mp4_segment_5_Gesture_12.71_13.01
